Material,Crystal Structure,Bending Strength (MPa),Bending Strain (%),zT,Heat Treatment Process,,,,,,,,
AgCuSe,orthorhombic crystal structure,76,0.8,0.43,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuS,orthorhombic crystal structure,144,0.7,0.00094,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuTe,,,,0.03,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.92S0.08,orthorhombic crystal structure,97,1.3,0.43,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.9S0.1,orthorhombic crystal structure,,,0.31,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.8S0.2,orthorhombic crystal structure,110,0.6,0.28,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.65S0.35,orthorhombic crystal structure,,,0.22,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.6S0.4,orthorhombic crystal structure,348,12.1,0.16,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.55S0.45,orthorhombic crystal structure,215,15,0.13,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
AgCuSe0.5S0.5,orthorhombic and amorphous mixed crystal structure,191,22.2,0.04,"The elements were weighed according to the chemical stoichiometry and sealed in carbon - coated quartz tubes under vacuum. The sealed quartz tubes were transferred to the vertical melting furnace and heated up to 673 K over a period of 4 h with a dwell time of 4 h, heated up to 1323 K over a period of 8 h with a dwell time of 10 h, and then cooled down to 773 K over a period of 15 h. After a dwell time of 48 h at 773 K, the quartz tubes were quenched into the ice water mixture.",,,,,,,,
