Ag,Au,Cu,I,K,S,Se,Te,Material,UTS_MPa,Elongation_pct
0.6,0,1.4,0,0,0,0,1,Ti23.95Al2.83V,950,14
0.6,0,1.4,0,0,0,0,1,Ti48.95Al5.66V,860,14
0.6,0,1.4,0,0,0,0,1,Ti91.76Al8.8Sn,861,15
0.6,0,1.4,0,0,0,0,1,Ti40.23Al2.27V,620,15
0.6,0,1.4,0,0,0,0,1,Ti105.15Al13.2Zr2.6Mo1.98Sn,1200,12
0.6,0,1.4,0,0,0,0,1,Ti49V5.48Al3.1Fe,1260,10
0.6,0,1.4,0,0,0,0,1,Ti62.83V11.65Al4.4Cr2.28Sn,1300,9
0.6,0,1.4,0,0,0,0,1,Ti2321.67O17.45N15.95Fe,344,20
0.6,0,1.4,0,0,0,0,1,Ti577.5O7N6Fe,550,15
0.6,0,1.4,0,0,0,0,1,Ti92.21Al10.67Zr2.1Mo,940,10
0.6,0,1.4,0,0,0,0,1,Ni214.87Cr87.78Fe79.58Nb13.19Mo7.51Ti4.52Al4.45C,1000,12
0.6,0,1.4,0,0,0,0,1,Ni118.69Cr50.82Mo11.27Fe10.75Nb4.65C,880,40
0.6,0,1.4,0,0,0,0,1,Ni182.13Cr101.64Co53Mo22.53Fe21.51C,770,68
0.6,0,1.4,0,0,0,0,1,Ni93.34Al19.08Co14.04Cr10.61Ti6.91Re1.48W,1200,12
0.6,0,1.4,0,0,0,0,1,Ni63.98Al11.5Co8.43Cr8.36W2.19Ti1.95Ta1.03Re,1280,9
0.6,0,1.4,0,0,0,0,1,Ni66.59Cr17.4Al14.75Co12.28W2.36Ti2.27Ta,1120,5
0.6,0,1.4,0,0,0,0,1,Ni402.46Cr150.15Co81.52Al19.29Ti17.56Mo2.09C,910,26.6
0.6,0,1.4,0,0,0,0,1,Cr219.45Co91.71Ti41.4Al24.48Mo18.78C,839,59
0.6,0,1.4,0,0,0,0,1,Ni245.36Cr129.64Fe98.76Mo28.74Co7.8C2.55W,788,57
0.6,0,1.4,0,0,0,0,1,Ni122.78Cr46.2Ti6.27Al2.23C,802,52
0.6,0,1.4,0,0,0,0,1,Ni126.19Co67.94Cr46.2Ti12.55Al8.9Mo4.17C,793,20
0.6,0,1.4,0,0,0,0,1,Ni212.83Co73.37Cr50.82Al28.49Ti15.06Mo5W2.61C,1517,15
0.6,0,1.4,0,0,0,0,1,Ni115.11Fe80.65Cr57.75C,450,35
0.6,0,1.4,0,0,0,0,1,Ni34.11Cr23.1Ti3.35Al1.78C,620,40
0.6,0,1.4,0,0,0,0,1,Ni1190.24Cr377.14Mo191.6Fe109.73W,695,56
0.6,0,1.4,0,0,0,0,1,Co15.6Cr13.26Ti1.92Al1.7Mo1.44W,,
0.6,0,1.4,0,0,0,0,1,Al132.92Mg4.09Zn3.4Cu,572,11
0.6,0,1.4,0,0,0,0,1,Al313.23Cu6.34Mg5.65Mn,470,12
0.6,0,1.4,0,0,0,0,1,Al169.84Mg1.93Si,310,12
0.6,0,1.4,0,0,0,0,1,Fe9.2Cr2.54Ni,520,40
0.6,0,1.4,0,0,0,0,1,Fe60.14Cr15.69Ni9.81Mo,480,40
0.6,0,1.4,0,0,0,0,1,Fe415.91Cr89.34Ni21.11Cu17.06Nb,1400,5
0.6,0,1.4,0,0,0,0,1,Fe652.9C12.78Ni11.77Cr5.91Mo,1100,12
