name,status,total_energy,formation_energy,fermi_level,vacuum_level,workfunction,metal_type,gap,vbm_energy,cbm_energy,vbm_coordi,cbm_coordi,vbm_index,cbm_index
POSCAR-Bi2Br6-162-POSCAR-SnS-156,done,-61.367518,-7.827578,-2.68966466,3.549,6.239,indirect,2.3028,-2.9027,-2.9027,"['0.333333', '0.333333', '0.000000']","['0.000000', '0.000000', '0.000000']",76,77
POSCAR-In2Zn2S5-156-POSCAR-SbTe2-187,done,-46.79364,-4.58821,0.28020498,7.14,6.86,metal,-5.3419,5.3419,5.3419,"['0.350877', '0.298246', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-AlI2-164-POSCAR-BrSbTe-156,done,-19.104879,-1.369269,0.28556482,4.173,3.887,metal,-4.5161,4.5161,4.5161,"['0.315790', '0.315790', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-GeTe-156-POSCAR-PdSe2-187,done,-21.713166,0.20360399999999856,-0.90483971,3.614,4.519,metal,-0.2872,-0.6517,-0.6517,"['0.026316', '0.000000', '0.000000']","['0.315790', '0.000000', '0.000000']",21,22
POSCAR-TaTe2-164-POSCAR-TiTe2-187,done,-37.479329,-2.219819,0.38047114,5.367,4.986,metal,-3.2282,3.2282,3.2282,"['0.000000', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-SbTe2-187-POSCAR-V2Te2-164,done,-37.714536,0.5770339999999976,0.5939797,5.345,4.751,metal,-4.0811,4.0811,4.0811,"['0.157895', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-VSeTe-156-POSCAR-Y4N3O2-164,done,-99.996121,-22.070091,-0.59997861,5.428,6.028,metal,-0.5411,-0.124,-0.124,"['0.000000', '0.000000', '0.000000']","['0.473684', '0.052632', '0.000000']",48,49
POSCAR-RuCl2-187-POSCAR-TiSSe-156,done,-32.824284,-2.756734,-1.35185929,4.806,6.158,metal,-0.0618,-1.2923,-1.2923,"['0.333333', '0.333333', '0.000000']","['0.394737', '0.000000', '0.000000']",26,27
POSCAR-Hf2NO2-164-POSCAR-Sc3F2N2-187,done,-111.10761,-33.11829,0.35470652,4.966,4.611,metal,-1.6666,1.2635,1.2635,"['0.333333', '0.333333', '0.000000']","['0.500000', '0.000000', '0.000000']",47,48
POSCAR-Bi2V-164-POSCAR-CuS2-164,done,-29.57684,1.7456100000000028,-0.15001239,5.713,5.863,metal,-0.917,0.3916,0.3916,"['0.000000', '0.000000', '0.000000']","['0.333333', '0.333333', '0.000000']",33,34
POSCAR-Ge2H2-164-POSCAR-Ta2Se2-164,done,-48.782424,0.21197599999999994,-0.96081935,2.819,3.78,metal,-0.8692,-0.4935,-0.4935,"['0.070175', '0.070175', '0.000000']","['0.333333', '0.333333', '0.000000']",32,33
POSCAR-TaSSe-156-POSCAR-TiSSe-156,done,-42.875806,-5.640516,-0.89464933,4.678,5.572,metal,-1.8572,1.8572,1.8572,"['0.000000', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-PtBr2-164-POSCAR-SnSe-156,done,-18.356035,0.14489500000000177,-1.26088087,3.561,4.822,metal,-0.4547,-0.901,-0.901,"['0.000000', '0.000000', '0.000000']","['0.157895', '0.157895', '0.000000']",22,23
POSCAR-Al2Br6-162-POSCAR-ZrO2-164,done,-141.7699,-51.30358,-3.50787017,3.429,6.936,indirect,3.7767,-3.7358,-3.7358,"['0.500000', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",72,73
POSCAR-Ti3N2-187-POSCAR-V2CF2-164,done,-87.869425,-13.645335,1.30757889,6.169,4.861,metal,-0.5208,1.5102,1.5102,"['0.403509', '0.192983', '0.000000']","['0.035088', '0.035088', '0.000000']",45,46
POSCAR-Hf4C3F2-164-POSCAR-TaAs2-164,done,-110.94983,-15.35099,0.79824711,5.972,5.174,metal,-4.9064,4.9064,4.9064,"['0.464912', '0.070175', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-AsClTe-156-POSCAR-CdCl2-164,done,-19.667166,-4.410426,-2.2944615,4.291,6.585,indirect,1.3752,-2.4809,-2.4809,"['0.105263', '0.105263', '0.000000']","['0.000000', '0.000000', '0.000000']",22,23
POSCAR-BiZrSb-156-POSCAR-Hf4C3-164,done,-92.072845,-4.696775,1.49271923,6.205,4.712,metal,-1.0079,2.3285,2.3285,"['0.052632', '0.000000', '0.000000']","['0.210526', '0.210526', '0.000000']",42,43
POSCAR-Cu2Se2-187-POSCAR-RhI2-164,done,-27.2391,0.5702200000000026,-0.18825792,4.077,4.265,metal,-6.0286,6.0286,6.0286,"['0.315790', '0.315790', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-PdTe2-187-POSCAR-Ta2Se2-164,done,-46.248958,-0.591818,0.13500341,4.073,3.938,metal,-1.0611,0.8388,0.8388,"['0.000000', '0.000000', '0.000000']","['0.333333', '0.333333', '0.000000']",28,29
POSCAR-ScO2-164-POSCAR-ZrSb2-187,done,-44.395651,-10.730241,-0.19469448,4.743,4.938,metal,-3.018,3.018,3.018,"['0.184210', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Ta2N-164-POSCAR-V2Cl6-162,done,-170.66835,-7.35147,0.06309248,5.184,5.121,metal,-0.5729,0.3876,0.3876,"['0.000000', '0.000000', '0.000000']","['0.335249', '0.329391', '0.000000']",88,89
POSCAR-TaS2-164-POSCAR-Zr3C2F2-187,done,-86.785382,-16.353382,1.19497173,6.115,4.92,metal,-4.453,4.453,4.453,"['0.464912', '0.070175', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-NbSb2-187-POSCAR-Zr2Br6-189,done,-118.71403,-8.89593,0.94770525,5.344,4.396,metal,-0.7324,1.2757,1.2757,"['0.000000', '0.210526', '0.000000']","['0.315790', '-0.315790', '0.000000']",79,80
POSCAR-AsSe2-164-POSCAR-Ga2S2-164,done,-30.10849,-2.32527,-1.22126814,4.174,5.396,metal,-5.5506,5.5506,5.5506,"['0.315790', '0.315790', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Si2-164-POSCAR-VBrI-156,done,-23.645429,1.160541000000002,-0.32544494,3.837,4.162,metal,-3.9151,3.9151,3.9151,"['0.210526', '0.210526', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-GaN-187-POSCAR-Ru2Br6-162,done,-79.147172,-2.302812,-2.31372018,3.258,5.572,metal,-0.0759,-2.3213,-2.3213,"['0.500000', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",71,72
POSCAR-MoSSe-156-POSCAR-P2-164,done,-33.263923,-2.031413,-0.55304348,4.587,5.14,indirect,1.0955,-0.7584,-0.7584,"['0.000000', '0.000000', '0.000000']","['0.333333', '0.333333', '0.000000']",18,19
POSCAR-Sc2I6-162-POSCAR-TiTe2-187,done,-101.91726,-15.2951,-0.63278685,4.509,5.142,metal,-0.038,-0.5672,-0.5672,"['0.052632', '0.000000', '0.000000']","['0.157895', '0.000000', '0.000000']",80,81
POSCAR-Bi2Ti-187-POSCAR-MoSb2-164,done,-37.113681,0.8717489999999941,1.88709249,6.488,4.601,metal,-1.5652,2.4975,2.4975,"['0.000000', '0.000000', '0.000000']","['0.403509', '0.192983', '0.000000']",33,34
POSCAR-Bi2Ti-164-POSCAR-Sc2CH2O2-164,done,-67.218555,-11.981885,1.16463931,5.179,4.015,metal,-1.8263,1.9843,1.9843,"['0.157895', '0.000000', '0.000000']","['0.333333', '0.333333', '0.000000']",41,42
POSCAR-Hf3C2O2-187-POSCAR-WSe2-187,unconverged,0.01,0.01,0,0,0,Unknown,0,0,0,[0. 0. 0.],[0. 0. 0.],-1,-1
POSCAR-SnSe2-164-POSCAR-ZrSeTe-156,done,-31.980741,-3.729661,-1.01906166,4.428,5.447,indirect,0.411,-1.2214,-1.2214,"['0.000000', '0.000000', '0.000000']","['0.394737', '0.000000', '0.000000']",25,26
POSCAR-Al2S2-164-POSCAR-TiSeTe-156,done,-38.105581,-5.416201,-0.4472131,4.777,5.224,indirect,0.0486,-0.4529,-0.4529,"['0.000000', '0.000000', '0.000000']","['0.421053', '0.000000', '0.000000']",21,22
POSCAR-GeS2-164-POSCAR-Ir2I6-162,done,-86.926236,-3.115476,-0.97371084,4.64,5.613,semimetallic,0.0041,-1.0347,-1.0347,"['0.500000', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",82,83
POSCAR-Hf2CF2-164-POSCAR-WSb2-164,done,-66.172527,-9.714247,1.15504064,5.45,4.295,metal,-0.5272,1.5164,1.5164,"['0.333333', '0.333333', '0.000000']","['0.192983', '0.192983', '0.000000']",31,32
POSCAR-GeTe-156-POSCAR-Pt2Te2-164,done,-29.959572,-0.691962,-0.28066519,4.497,4.778,metal,-1.9575,0.789,0.789,"['0.000000', '0.000000', '0.000000']","['0.333333', '0.333333', '0.000000']",26,27
POSCAR-Hf2Br2N2-164-POSCAR-TaSeTe-156,done,-72.757321,-11.779631,0.23657366,4.847,4.611,metal,-3.3251,3.3251,3.3251,"['0.482456', '0.035088', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Al2Br6-162-POSCAR-Mg2P2Se6-147,done,-71.360815,-14.142675,-2.08748502,3.559,5.647,direct,1.9989,-2.3047,-2.3047,"['0.333333', '0.333333', '0.000000']","['0.333333', '0.333333', '0.000000']",49,50
POSCAR-AlI2-187-POSCAR-GaAs-156,done,-16.042311,-0.044791,-1.47661647,3.948,5.425,metal,-4.5859,4.5859,4.5859,"['0.263158', '0.263158', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-NbSb2-187-POSCAR-Zr3C2F2-187,done,-82.522578,-13.052298,2.34098049,6.898,4.557,metal,-5.6582,5.6582,5.6582,"['0.456140', '0.087719', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Al2Se2-187-POSCAR-AsISe-156,done,-28.857458,-2.297258,-0.71139174,4.295,5.006,indirect,0.69,-0.9168,-0.9168,"['0.000000', '0.000000', '0.000000']","['0.333333', '0.333333', '0.000000']",18,19
POSCAR-As2I6-162-POSCAR-ZrBrI-156,done,-85.600932,-13.728352,0.41728269,4.419,4.001,metal,-0.0898,0.48,0.48,"['0.333333', '0.333333', '0.000000']","['0.000000', '0.000000', '0.000000']",78,79
POSCAR-GeSe2-164-POSCAR-Ti2PTe2-164,done,-47.129096,-4.883036,0.28880141,5.675,5.386,metal,-2.7882,2.7882,2.7882,"['0.052632', '0.052632', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-WSb2-187-POSCAR-WSb2-187,done,-42.806201,2.8922390000000036,2.13974891,6.549,4.409,metal,-1.143,2.7859,2.7859,"['0.000000', '0.000000', '0.000000']","['0.280702', '0.280702', '0.000000']",24,25
POSCAR-PbO-156-POSCAR-TiSeTe-156,done,-28.602714,-4.416794,-1.92123575,4.673,6.595,indirect,0.0742,-1.9535,-1.9535,"['0.157895', '0.157895', '0.000000']","['0.421053', '0.000000', '0.000000']",22,23
POSCAR-Hf2CO2-164-POSCAR-Sc4C3F2-156,done,-122.7628,-25.95986,-0.34956243,4.772,5.122,metal,-1.948,0.8744,0.8744,"['0.000000', '0.000000', '0.000000']","['0.333333', '0.333333', '0.000000']",53,54
POSCAR-BiHfSb-156-POSCAR-CuSe2-164,done,-30.810798,0.483112000000002,0.18636132,5.483,5.297,metal,-4.6753,4.6753,4.6753,"['0.035088', '0.035088', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Hf2C-164-POSCAR-Zr2H2NO2-164,done,-84.953064,-12.941114,1.0911875,5.383,4.292,metal,-4.2194,4.2194,4.2194,"['0.473684', '0.052632', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-In2O2-187-POSCAR-TaSe2-164,done,-42.354686,-7.684586,-0.80387988,4.852,5.656,metal,-3.7064,3.7064,3.7064,"['0.394737', '0.210526', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-In2Zn3S6-156-POSCAR-SbTe2-187,done,-54.205638,-6.155888,1.28416783,6.18,4.896,metal,-6.8568,6.8568,6.8568,"['0.342105', '0.315790', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-TaSb2-187-POSCAR-TiCl2-187,done,-37.96291,-4.216,0.95180709,5.375,4.423,metal,-3.2082,3.2082,3.2082,"['0.491228', '0.017544', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-MoSTe-156-POSCAR-Sc3C2H2O2-187,done,-87.154105,-13.567655,1.4537587,4.685,3.231,metal,-5.0089,5.0089,5.0089,"['0.438597', '0.122807', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-AsTe2-187-POSCAR-GeSe2-164,done,-24.388664,0.31806600000000174,-0.52683434,4.814,5.341,metal,-4.8729,4.8729,4.8729,"['0.210526', '0.210526', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-CuS2-164-POSCAR-Zr4C3O2-164,done,-100.7613,-14.96042,0.80150243,6.631,5.83,metal,-6.4878,6.4878,6.4878,"['0.438597', '0.122807', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-BiWAs-156-POSCAR-Zr3C2O2-187,done,-89.856738,-12.292358,1.50886351,6.812,5.303,metal,-0.6617,1.8891,1.8891,"['0.000000', '0.000000', '0.000000']","['0.298246', '0.298246', '0.000000']",45,46
POSCAR-NbSeTe-156-POSCAR-PtS2-164,done,-36.526221,-2.653901,-0.42505063,4.863,5.288,metal,-2.6119,2.6119,2.6119,"['0.017544', '0.017544', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Hf3C2H2O2-187-POSCAR-Zr2H2NO2-164,done,-90.934659,16.269191000000006,-2.00367471,2.046,4.05,metal,-0.7336,0,0,"['0.000000', '0.000000', '0.000000']","['0.421053', '0.157895', '0.000000']",0,0
POSCAR-VSTe-156-POSCAR-Zr2Br2-164,done,-44.600038,-5.217788,1.15634579,5.475,4.319,metal,-5.0247,5.0247,5.0247,"['0.491228', '0.017544', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-PtTe2-187-POSCAR-Zr2PTe2-164,done,-50.400854,-5.382314,1.31120535,6.289,4.978,metal,-4.6367,4.6367,4.6367,"['0.315790', '0.315790', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-BrSbTe-156-POSCAR-BrSbTe-156,done,-21.014596,-0.965036,-0.91857002,5.268,6.187,indirect,0.1849,-1.0077,-1.0077,"['0.105263', '0.105263', '0.000000']","['0.333333', '0.333333', '0.000000']",18,19
POSCAR-Bi2Zr-164-POSCAR-In2O2-187,done,-38.274024,-6.003904,0.64036742,6.282,5.641,metal,-1.9782,1.5075,1.5075,"['0.000000', '0.000000', '0.000000']","['0.263158', '0.263158', '0.000000']",40,41
POSCAR-PtTe2-187-POSCAR-VBr2-164,done,-28.408675,-1.022995,0.78954901,5.009,4.219,metal,-5.8169,5.8169,5.8169,"['0.192983', '0.192983', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-BiTaSb-156-POSCAR-Sc2C-164,done,-43.850464,0.1508659999999935,0.3255503,4.942,4.616,metal,-3.6075,3.6075,3.6075,"['0.184210', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-BiTiSb-156-POSCAR-ZrSb2-187,done,-36.321559,-0.659199,1.77609145,6.567,4.791,metal,-2.4599,3.1205,3.1205,"['0.070175', '0.070175', '0.000000']","['0.263158', '0.263158', '0.000000']",27,28
POSCAR-MoSSe-156-POSCAR-WSb2-164,done,-43.528221,-0.883071,1.50103397,5.864,4.363,metal,-0.7455,2.0427,2.0427,"['0.000000', '0.000000', '0.000000']","['0.394737', '0.210526', '0.000000']",25,26
